title,release_year,language,genre,overview,vote_average,vote_count,popularity,cleaned_overview
Final Voyage,2021,Deutsch,Drama,adem novak two different young men escape desolate planet small old spaceship search new home space,5.421,20.0,3.222,adem novak two different young men escape desolate planet small old spaceship search new home space
Schlachtfest,2018,Deutsch,Horror,18minute short film play like series vignette looking life seriously fucked people slice dice torture innocent people brutally vignette seemingly connection last,0.0,0.0,0.015,minute short film play like series vignette looking life seriously fucked people slice dice torture innocent people brutally vignette seemingly connection last
Sag mir nichts,2016,Deutsch,Drama,lena happily married strange sbahn pull go get involved spontaneous infidelity stranger martin thought marriage wife completely safe nevertheless actually written adventure lena martin becoming projection screen newly created need longing lena martin let go,5.604,24.0,5.684,lena happily married strange sbahn pull go get involved spontaneous infidelity stranger martin thought marriage wife completely safe nevertheless actually written adventure lena martin becoming projection screen newly created need longing lena martin let go
Das doppelte Lottchen,2017,Deutsch,Drama,lotte louise meet summer camp everyone see two fall open surprise girl look much alike doesnt take long find actually twin,6.5,8.0,1.621,lotte louise meet summer camp everyone see two fall open surprise girl look much alike doesnt take long find actually twin
Match Me If You Can,2022,Deutsch,Romanze,lisa nina hartmann martin olivier lendl perfect match least online dating profile bad used fake profile picture meet first date dont recognize,4.3,3.0,0.659,lisa nina hartmann martin olivier lendl perfect match least online dating profile bad used fake profile picture meet first date dont recognize
9 Days Awake,2020,Deutsch,Drama,9 day awake film adaptation eponymous novel eric stehfest jannik schmann play eric junkie life party addicted one drug make feel invincible like jesus terminator time accepted acting school berlin try reconnect great love anja peri baumeister change life strive better numerous conflict issue follow leaving retreat back old way situation escalate,6.25,14.0,2.008,day awake film adaptation eponymous novel eric stehfest jannik schmann play eric junkie life party addicted one drug make feel invincible like jesus terminator time accepted acting school berlin try reconnect great love anja peri baumeister change life strive better numerous conflict issue follow leaving retreat back old way situation escalate
Abhauen,2022,Deutsch,Drama,plagued feeling guilt meeting two brother confronts feeling experienced,0.0,0.0,3.37,plagued feeling guilt meeting two brother confronts feeling experienced
Lost Cave,2023,Deutsch,Horror,lost cave 1 lost cave 2 transport viewer deep dark cave full secret danger tense atmosphere unexpected turn short film take viewer journey unknown nothing seems,0.0,0.0,0.328,lost cave lost cave transport viewer deep dark cave full secret danger tense atmosphere unexpected turn short film take viewer journey unknown nothing seems
Babyboy,2023,Deutsch,Romanze,vincent 16 aspires achieve everything make boy moving mother house finding acceptance among boy football team sleeping girlfriend first love divorce parent lie vincents longing feel home,0.0,0.0,0.385,vincent aspires achieve everything make boy moving mother house finding acceptance among boy football team sleeping girlfriend first love divorce parent lie vincents longing feel home
Golden Years,2022,Deutsch,Romanze,newly retired couple embarks cruise find drifting apart thing dont go planned learn evolve relationship affectionate comedy selfdiscovery developing new way spend one golden year,5.6,9.0,3.34,newly retired couple embarks cruise find drifting apart thing dont go planned learn evolve relationship affectionate comedy selfdiscovery developing new way spend one golden year
The Bastard King,2020,Deutsch,Drama,birth adulthood bastard king accompanies life lion cinematic hybrid nature film fictional storytelling show bloody struggle survival wilderness mechanism exclusion discrimination bastard king modern day fable metaphor exploitation planet,0.0,0.0,2.352,birth adulthood bastard king accompanies life lion cinematic hybrid nature film fictional storytelling show bloody struggle survival wilderness mechanism exclusion discrimination bastard king modern day fable metaphor exploitation planet
Faking Bullshit,2020,Deutsch,Humor,small town cop resorting unusual mean keep police station closed,5.406,16.0,2.088,small town cop resorting unusual mean keep police station closed
Safari: Match Me If You Can,2018,Deutsch,Humor,munich city single unfulfilled desire whoever feel like onenight stand use safari new dating app possible find love via app harry least meet lara safari even though he married aurelie,4.5,16.0,1.75,munich city single unfulfilled desire whoever feel like onenight stand use safari new dating app possible find love via app harry least meet lara safari even though married aurelie
"Where Are You Going, Habibi?",2015,Deutsch,Drama,ibrahim young german turkish descent lead double life living traditionbound family spending day looking respectable job outside parent apartment igbo he called family friend confident gay work sex shop hunt mr right,6.3,29.0,3.744,ibrahim young german turkish descent lead double life living traditionbound family spending day looking respectable job outside parent apartment igbo called family friend confident gay work sex shop hunt mr right
Sugar Sand,2017,Deutsch,Drama,end 1970s east germany fred jonas close friend 10yearolds live near germangerman frontier mother jonas made exit application boy recognize soon separated want dig tunnel australia meet jonas leave country mother night change everything,5.2,4.0,2.295,end east germany fred jonas close friend yearolds live near germangerman frontier mother jonas made exit application boy recognize soon separated want dig tunnel australia meet jonas leave country mother night change everything
Three Wheels One Summer,2022,Deutsch,Humor,summer three wheel story shy outsider flake suffers parent named stuttering keyboardist famous rock band absolutely fails confess love girl secretly yearns assert rival flake first make wrong decision drug dealer kim embittered wheelchair user philipp special kind tour de force develops encounter road movie lead piaggio moped car 45 kmh top stuttgart lake constance,6.143,7.0,1.557,summer three wheel story shy outsider flake suffers parent named stuttering keyboardist famous rock band absolutely fails confess love girl secretly yearns assert rival flake first make wrong decision drug dealer kim embittered wheelchair user philipp special kind tour de force develops encounter road movie lead piaggio moped car kmh top stuttgart lake constance
Die Drei von der Müllabfuhr - (K)eine saubere Sache,2022,Deutsch,Drama,captain werner trsch quite astonished fresh wind social change blowing among traditionconscious berlin garbage worker bos dorn got head woman finally employed refuse collector,0.0,0.0,0.98,captain werner trsch quite astonished fresh wind social change blowing among traditionconscious berlin garbage worker bos dorn got head woman finally employed refuse collector
Wintergast,2015,Deutsch,Drama,peak midlife crisis swiss filmmaker stefan keller forced take side job financial necessity consequently find travelling throughout switzerland anonymous youth hostel tester christmas thus begin odyssey stefan desperate need story struggle failed relationship chance acquaintance force face meaning existence,8.2,4.0,1.557,peak midlife crisis swiss filmmaker stefan keller forced take side job financial necessity consequently find travelling throughout switzerland anonymous youth hostel tester christmas thus begin odyssey stefan desperate need story struggle failed relationship chance acquaintance force face meaning existence
Dead End,2022,Deutsch,Horror,mouse enjoying good life one day peaceful reality disturbed strange event,0.0,0.0,0.043,mouse enjoying good life one day peaceful reality disturbed strange event
Lifejacket,2022,Deutsch,Romanze,mona find exgirlfriends old jacket dispose planned surfacing memory make reconsider rise fall relationship told piece clothing,0.0,0.0,0.164,mona find exgirlfriends old jacket dispose planned surfacing memory make reconsider rise fall relationship told piece clothing
Youth Topia,2023,Deutsch,Drama,perpetual underdog wanja get unique chance start career architect becomes adult amongst new privilege start missing friend youth,1.0,1.0,0.986,perpetual underdog wanja get unique chance start career architect becomes adult amongst new privilege start missing friend youth
Verführt - In den Armen eines Anderen,2016,Deutsch,Romanze,since nina met daniel first time hasnt able get mind he smart attractive mysterious two keep meeting seemingly chance nina get involved affair experience exciting erotic adventure explores limit desire risk marriage sebastian find two men know knowledge end completely messing world,6.2,22.0,3.683,since nina met daniel first time hasnt able get mind smart attractive mysterious two keep meeting seemingly chance nina get involved affair experience exciting erotic adventure explores limit desire risk marriage sebastian find two men know knowledge end completely messing world
Robby and Toby's Fantastic Voyager,2016,Deutsch,Humor,one day robot robby enters life creative little boy toby robby separated robot parent spaceship crashed toby decides offer help two become friend,4.4,46.0,1.996,one day robot robby enters life creative little boy toby robby separated robot parent spaceship crashed toby decides offer help two become friend
The Flying Classroom,2023,Deutsch,Drama,young martina take scholarship johannsigismund gymnasium boarding school find caught rivalry boarder external local village,5.75,12.0,2.552,young martina take scholarship johannsigismund gymnasium boarding school find caught rivalry boarder external local village
Bittersweet,2016,Deutsch,Drama,terrible fight conservative parent 19yearold mina move sister mandy work prostitute mina find love meet tony dj financial problem two sinister debt collector give drastic ultimatum three day raise 11 000 euro mandys advice mina diabolic one sell costliest thing possesses virginity,4.1,5.0,0.828,terrible fight conservative parent yearold mina move sister mandy work prostitute mina find love meet tony dj financial problem two sinister debt collector give drastic ultimatum three day raise euro mandys advice mina diabolic one sell costliest thing possesses virginity
Der Irland-Krimi: Vergebung,2021,Deutsch,Drama,decade struggle northern ireland left deep wound yet healed criminal psychologist cathrin blake faced delicate task mediating perpetratorvictim conversation,7.0,1.0,0.956,decade struggle northern ireland left deep wound yet healed criminal psychologist cathrin blake faced delicate task mediating perpetratorvictim conversation
The Final Problem,2019,Deutsch,Drama,snowedin holiday hotel dead body room locked inside hotel manager want cover blink eye whole hotel know among guest inspector least convincingly claim together assistant travelled undertakes extensive investigation even second murder take place,5.5,19.0,2.44,snowedin holiday hotel dead body room locked inside hotel manager want cover blink eye whole hotel know among guest inspector least convincingly claim together assistant travelled undertakes extensive investigation even second murder take place
Kleine Eheverbrechen,2023,Deutsch,Romanze,blow head gilles wake hospital know wife lisa caused injury act result year accumulated desperation show extent rift marriage decides fake amnesia everyone explore went wrong marriage,5.0,1.0,1.045,blow head gilles wake hospital know wife lisa caused injury act result year accumulated desperation show extent rift marriage decides fake amnesia everyone explore went wrong marriage
Just Something Nice,2022,Deutsch,Drama,radio presenter karlas biological clock ticking loud clear matter simply cannot find suitable could imagine family,6.967,30.0,2.541,radio presenter karlas biological clock ticking loud clear matter simply cannot find suitable could imagine family
Pampa Blues,2015,Deutsch,Romanze,since american gave military training area near endlingen ostalbkreis region going downhill maslow jack trade working ufo dump mentioned press meanwhile ben reluctantly entrusted care demented grandfather fall love lena ended town,6.0,5.0,0.531,since american gave military training area near endlingen ostalbkreis region going downhill maslow jack trade working ufo dump mentioned press meanwhile ben reluctantly entrusted care demented grandfather fall love lena ended town
Einstein,2015,Deutsch,Action,highly intelligent professor help solving crime,6.8,6.0,1.192,highly intelligent professor help solving crime
Swabian Granny Gore Terror,2019,Deutsch,Horror,eating mysterious jar pickled fruit 1800s curmudgeonly woman transforms hideous bloodthirsty granny hellbent wreaking havoc criminal lowlife neighborhood,5.0,1.0,0.045,eating mysterious jar pickled fruit curmudgeonly woman transforms hideous bloodthirsty granny hellbent wreaking havoc criminal lowlife neighborhood
EXHIBITION,2020,Deutsch,Humor,era smartphones exhibitionist struggle get attention need finally find way seen people,1.0,1.0,0.785,era smartphones exhibitionist struggle get attention need finally find way seen people
Dancing Quietly,2016,Deutsch,Drama,many dark year depression luca seek gain high school diploma little dog mata help find motivation keep positive attitude towards life,5.4,18.0,1.652,many dark year depression luca seek gain high school diploma little dog mata help find motivation keep positive attitude towards life
Point Blank,2016,Deutsch,Drama,berlin germany police officer klaus roth infiltrates serbian mafia specializing manipulating sport betting befriends naive luka order capture aco gori enigmatic head criminal ring,6.4,27.0,3.89,berlin germany police officer klaus roth infiltrates serbian mafia specializing manipulating sport betting befriends naive luka order capture aco gori enigmatic head criminal ring
"So Long Daddy, See You in Hell",2022,Deutsch,Drama,fourteenyearold jeanne lived farm commune since two year old mother father live city commune rarely visit one commandment given otto rule commune child grow without parent knowing nothing else jeanne enjoys outdoor life surrounded lot child fall love 16yearold jean childhood paradise begin fall apart,2.333,3.0,1.37,fourteenyearold jeanne lived farm commune since two year old mother father live city commune rarely visit one commandment given otto rule commune child grow without parent knowing nothing else jeanne enjoys outdoor life surrounded lot child fall love yearold jean childhood paradise begin fall apart
End of the Season,2017,Deutsch,Drama,becker german excon trying hold job night watchman chance encounter whose family becker killed 18 year earlier sends new life spiraling control,6.8,15.0,1.254,becker german excon trying hold job night watchman chance encounter whose family becker killed year earlier sends new life spiraling control
"Manta, Manta: Legacy",2023,Deutsch,Action,former racer face prospect car repair shop gokart track foreclosed come daring plan win prize big race bilster berg one month turn old opel rocket old day exwife suddenly enters life request take care son,4.861,61.0,13.157,former racer face prospect car repair shop gokart track foreclosed come daring plan win prize big race bilster berg one month turn old opel rocket old day exwife suddenly enters life request take care son
Out Of Control,2017,Deutsch,Action,chinese superstar attends berlin film festival soon find sometimes reality far frightening hollywood script,6.0,1.0,6.354,chinese superstar attends berlin film festival soon find sometimes reality far frightening hollywood script
Sachertorte,2022,Deutsch,Romanze,karl meet nini berlin train station love first sight hour spend together travel back vienna end mishap karl loses phone number decides move austrian capital find dream woman,6.957,35.0,5.738,karl meet nini berlin train station love first sight hour spend together travel back vienna end mishap karl loses phone number decides move austrian capital find dream woman
Eastfrisian for Beginners,2016,Deutsch,Humor,heart warming comedy grumpy old confronted group migrant worker challenge prejudice,6.4,10.0,0.66,heart warming comedy grumpy old confronted group migrant worker challenge prejudice
Bad Luck,2015,Deutsch,Humor,dagmar work gas station struggling pay debt lippo fired chef swearing revenge karl weird friend rizzo find bag filled money lead rash action three car crash three day three story,6.4,11.0,1.668,dagmar work gas station struggling pay debt lippo fired chef swearing revenge karl weird friend rizzo find bag filled money lead rash action three car crash three day three story
Lena Lorenz - Mutterliebe,2022,Deutsch,Romanze,petra hoffmann early 50 pregnant carrying child though daughter midwife lena lorenz looking mother daughter pregnancy unproblematic thus far shortly birth family start break apart,0.0,0.0,0.861,petra hoffmann early pregnant carrying child though daughter midwife lena lorenz looking mother daughter pregnancy unproblematic thus far shortly birth family start break apart
The Divine Order,2017,Deutsch,Drama,nora young housewife mother living quaint little village husband two son swiss countryside untouched major social upheaval movement 1968 brought noras life affected either quiet person liked everybody start publicly fight womens suffrage men due vote ballot february 7 1971,7.294,131.0,8.573,nora young housewife mother living quaint little village husband two son swiss countryside untouched major social upheaval movement brought noras life affected either quiet person liked everybody start publicly fight womens suffrage men due vote ballot february
100 Things,2018,Deutsch,Humor,best friend toni paul decide relinquish belonging 100 day whereby receive one item back day challenge two realize thing cannot without friendship story contemporary materialism quest truly important thing life,6.7,287.0,11.731,best friend toni paul decide relinquish belonging day whereby receive one item back day challenge two realize thing cannot without friendship story contemporary materialism quest truly important thing life
Styrian Death,2021,Deutsch,Drama,two murder prostitute similar way wonder commissioner sandra mohr suspect connection obvious suspicion serial killer could mischief styria initially dismissed supervisor sascha bergmann,5.3,3.0,1.543,two murder prostitute similar way wonder commissioner sandra mohr suspect connection obvious suspicion serial killer could mischief styria initially dismissed supervisor sascha bergmann
How do we get out of this?,2023,Deutsch,Humor,christmas usually favourite holiday atheist wanda surgeon feminist mother teenage nina certainly time pandemic,0.0,0.0,1.289,christmas usually favourite holiday atheist wanda surgeon feminist mother teenage nina certainly time pandemic
Verdammt verliebt auf Mallorca,2016,Deutsch,Humor,teacher antonia taking spanish class mallorca island nothing going according plan trip turn mess one student asks father gregor help working island partysinger trip starting get interesting especially antonia start grow interest gregor,0.0,0.0,1.509,teacher antonia taking spanish class mallorca island nothing going according plan trip turn mess one student asks father gregor help working island partysinger trip starting get interesting especially antonia start grow interest gregor
5 Seasons,2015,Deutsch,Drama,small group men woman whose child got murdered take justice hand,3.9,5.0,1.141,small group men woman whose child got murdered take justice hand
Love and Death in the Afternoon,2016,Deutsch,Romanze,amourfoustory old young girl remembered girl roman place love first roman cycle film,0.0,0.0,0.354,amourfoustory old young girl remembered girl roman place love first roman cycle film
Chuzpe - Klops braucht der Mensch!,2015,Deutsch,Humor,comedy directed isabel kleefeld,5.5,4.0,2.776,comedy directed isabel kleefeld
The Turncoat,2020,Deutsch,Drama,walter proska young wehrmacht soldier begin question purpose real enemy whether real duty fatherland conscience,7.0,5.0,3.072,walter proska young wehrmacht soldier begin question purpose real enemy whether real duty fatherland conscience
Into the Cutezone,2021,Deutsch,Action,elite squad highly trained soldier task reaching center mysterious zone inside confronted frightening enemy immune massive muscle gun,0.0,0.0,0.295,elite squad highly trained soldier task reaching center mysterious zone inside confronted frightening enemy immune massive muscle gun
Schreckenstein Castle,2016,Deutsch,Humor,elevenyearold outsider stephan arrives castle schreckenstein allboys boarding school learns life within community soon find part funny prankscompetition boy currently fighting neighboring girl castle rosenfels girl choice move schreckenstein failed prank life school suddenly nothing like used,5.914,29.0,3.462,elevenyearold outsider stephan arrives castle schreckenstein allboys boarding school learns life within community soon find part funny prankscompetition boy currently fighting neighboring girl castle rosenfels girl choice move schreckenstein failed prank life school suddenly nothing like used
Absent,2015,Deutsch,Drama,winter big city thirtyyearold klara arrives home random guy met drunk giggling fun someone else apartment anton 9 catch sex next morning anton gone,0.0,0.0,0.932,winter big city thirtyyearold klara arrives home random guy met drunk giggling fun someone else apartment anton catch sex next morning anton gone
Baltic Sea for Pigheaded People,2023,Deutsch,Romanze,eva jensen female carpenter form hamburg want make new start baltic sea coast eastern germany try buy workshop view sea offered sale heide rent beach chair unfortunately heides exhusband veto sale trying understand reason eva come across painful family secret day gdr respect newcomer west face prejudice village although skill urgently needed fishseller christian interested workshop eva see fair competition discover common passion kitesurfing unexpectedly grow closer,5.5,1.0,4.618,eva jensen female carpenter form hamburg want make new start baltic sea coast eastern germany try buy workshop view sea offered sale heide rent beach chair unfortunately heides exhusband veto sale trying understand reason eva come across painful family secret day gdr respect newcomer west face prejudice village although skill urgently needed fishseller christian interested workshop eva see fair competition discover common passion kitesurfing unexpectedly grow closer
Two People Meeting,2016,Deutsch,Romanze,senta thomas dying fall love one another still two people hopeless romantic system analyst meet unexpected amour fou ensues,5.125,4.0,0.678,senta thomas dying fall love one another still two people hopeless romantic system analyst meet unexpected amour fou ensues
A Voluntary Year,2019,Deutsch,Drama,encouraged father hope save life province jette spend year volunteering overseas love stand way father plan longer know want,5.0,2.0,1.035,encouraged father hope save life province jette spend year volunteering overseas love stand way father plan longer know want
Fritz Lang,2016,Deutsch,Drama,filmmaker fritz lang seek inspiration first sound film immersing case serial killer peter krten,5.2,12.0,1.054,filmmaker fritz lang seek inspiration first sound film immersing case serial killer peter krten
Fucking Berlin,2016,Deutsch,Drama,sonia break perhaps exciting time life 20yearold move berlin mathematics study soon began build new circle friend fell love kind irresponsible ladja one big catch dear money bit scarce therefore sonia one day financially curiosity path prostitution lead brisk double flight fly time experience ambivalent parttime often get difficult situation get know nice people enjoys life student long maintain double game,5.8,96.0,8.009,sonia break perhaps exciting time life yearold move berlin mathematics study soon began build new circle friend fell love kind irresponsible ladja one big catch dear money bit scarce therefore sonia one day financially curiosity path prostitution lead brisk double flight fly time experience ambivalent parttime often get difficult situation get know nice people enjoys life student long maintain double game
In the Aisles,2018,Deutsch,Drama,christian reclusive young leipzig get job working night shift bigbox store he trained stock good operate forklift bruno wistful former truck driver introduces christian colorful group overnight worker including marion christian develops troubled infatuation,6.923,162.0,6.344,christian reclusive young leipzig get job working night shift bigbox store trained stock good operate forklift bruno wistful former truck driver introduces christian colorful group overnight worker including marion christian develops troubled infatuation
"Mein Vater, der Esel und ich",2023,Deutsch,Humor,single mother tinka village policewoman sense responsibility paramount father hartmut bonanza zeller oncesuccessful rock musician drop year radio silence want get rid right away,0.0,0.0,0.631,single mother tinka village policewoman sense responsibility paramount father hartmut bonanza zeller oncesuccessful rock musician drop year radio silence want get rid right away
Everybody Wants To Be Loved,2022,Deutsch,Humor,ina therapist mother rebellious teenage girl partner always put career first put everyones need ahead one hot summer day selfcentered mother celebrates 70th birthday something happens change everything,3.333,3.0,1.485,ina therapist mother rebellious teenage girl partner always put career first put everyones need ahead one hot summer day selfcentered mother celebrates th birthday something happens change everything
Kaya Yanar - Reiz der Schweiz,2018,Deutsch,Humor,standup comedian kaya yanar dissects allure switzerland eye german who lived,8.3,13.0,3.284,standup comedian kaya yanar dissects allure switzerland eye german lived
Alfons Zitterbacke,2019,Deutsch,Humor,clumsy peculiar pupil alfons zitterbacke dream astronaut wreaks havoc anywhere go odds want proof everyone teasing wrong especially father want normal kid,5.5,9.0,2.09,clumsy peculiar pupil alfons zitterbacke dream astronaut wreaks havoc anywhere go odds want proof everyone teasing wrong especially father want normal kid
Dear Thomas,2021,Deutsch,Drama,thomas brasch born germanjewish emigrant england order move young gdr family beginning 1950s father horst primarily interested helping build new german state thomas prefers realize writer discovers potential poetic rebel first play banned soon afterwards lost place film school tank soviet union roll czech capital prague 1968 brasch girlfriend sanda student try call protest street berlin fail father betrays stasi allows thomas go prison paroled continues try hand poet writing love revolt death gdr however dont want anything someone like,6.208,12.0,1.223,thomas brasch born germanjewish emigrant england order move young gdr family beginning father horst primarily interested helping build new german state thomas prefers realize writer discovers potential poetic rebel first play banned soon afterwards lost place film school tank soviet union roll czech capital prague brasch girlfriend sanda student try call protest street berlin fail father betrays stasi allows thomas go prison paroled continues try hand poet writing love revolt death gdr however dont want anything someone like
Schubert in Love,2016,Deutsch,Humor,olaf try make dream reality thereby always get trouble surroundings meet biggest obstacle yet father pressure child finding woman becomes difficult olaf realizes something doesnt feeling,5.068,22.0,2.381,olaf try make dream reality thereby always get trouble surroundings meet biggest obstacle yet father pressure child finding woman becomes difficult olaf realizes something doesnt feeling
Die Drei von der Müllabfuhr - Kassensturz,2020,Deutsch,Drama,werner trsch move apartment great love gabi hertz however hardly help furnishing apartment campaigning save favorite restaurant traube,5.3,3.0,1.816,werner trsch move apartment great love gabi hertz however hardly help furnishing apartment campaigning save favorite restaurant traube
Klassentreffen,2019,Deutsch,Humor,25 year since graduated high school could done left made honor round simply failed meet class reunion former best class former genius exclass brat exclassass mid40s suddenly face people dreamed future life actually happened meantime,4.9,8.0,1.995,year since graduated high school could done left made honor round simply failed meet class reunion former best class former genius exclass brat exclassass mids suddenly face people dreamed future life actually happened meantime
And Tomorrow the Entire World,2021,Deutsch,Romanze,luisa 20yearold law student join cell antifa group friend alfa lenor get know upcoming attack planned local neonazi gang try find three youngster delve deeper scene linked rightwing movement political connection point understand much willing go order defend belief,6.094,32.0,6.316,luisa yearold law student join cell antifa group friend alfa lenor get know upcoming attack planned local neonazi gang try find three youngster delve deeper scene linked rightwing movement political connection point understand much willing go order defend belief
King of the Cannibals,2016,Deutsch,Horror,konig kannibalen aka king cannibal cannibal messiah slapstick goofball splatter film written master w codirected master w crippler criss see segment entitled secret magic mushroom tromas mutantz nazi zombie collection would appear together filmmaker go name psycho production cant help notice half cast wearing company tshirt wouldnt thought low budget comedy cannibal run close 120 minute would something id enjoy turn wrong,2.0,1.0,0.172,konig kannibalen aka king cannibal cannibal messiah slapstick goofball splatter film written master w codirected master w crippler criss see segment entitled secret magic mushroom tromas mutantz nazi zombie collection would appear together filmmaker go name psycho production cant help notice half cast wearing company tshirt wouldnt thought low budget comedy cannibal run close minute would something id enjoy turn wrong
I Am Art,2019,Deutsch,Drama,mockumentary firsttime documantary filmmaker meet artist class ischariot wiesengrund despite obvious difference two men develop strange familiarity,0.0,0.0,1.256,mockumentary firsttime documantary filmmaker meet artist class ischariot wiesengrund despite obvious difference two men develop strange familiarity
Somewhere in Tonga,2017,Deutsch,Drama,nothing keep passionate social worker wolski germany uninhabited island kingdom tonga want give criminal teenager second chance first candidate marcel 16 stranger drug violence crime visit main island end disaster wolski narrowly manages keep boy send prison deal marcel allowed leave remote island,6.2,4.0,1.326,nothing keep passionate social worker wolski germany uninhabited island kingdom tonga want give criminal teenager second chance first candidate marcel stranger drug violence crime visit main island end disaster wolski narrowly manages keep boy send prison deal marcel allowed leave remote island
Gutland,2018,Deutsch,Drama,early one summer morning young secret stashed away duffel bag emerges forest nearby village asks around work farmer suspicious point hostility forthcoming lucy mayor unruly daughter take liking village change attitude promptly offered job farmhand caravan live time pass gradually integrated community emerges he one past hide something sinister lurking immaculate surface picturesque little world slowly drawing,5.986,37.0,2.464,early one summer morning young secret stashed away duffel bag emerges forest nearby village asks around work farmer suspicious point hostility forthcoming lucy mayor unruly daughter take liking village change attitude promptly offered job farmhand caravan live time pas gradually integrated community emerges one past hide something sinister lurking immaculate surface picturesque little world slowly drawing
Coming Soon,2023,Deutsch,Drama,sibling vroni flori observe goingson parent flower stall vroni claim know future aleksey lapin belief show microcosm marginalized stroll wind change everything brew air playful ode feeling nothing,0.0,0.0,0.696,sibling vroni flori observe goingson parent flower stall vroni claim know future aleksey lapin belief show microcosm marginalized stroll wind change everything brew air playful ode feeling nothing
Snowblind,2017,Deutsch,Drama,snowblind set black forest ice cold winter 1946 peter 16year old blind boy trying get germany together father heiner former s officer carry fatally wounded soldier karl promised guide across border switzerland time reach family remote farm house karl died peter heiner hope karls father fulfill son promise snow storm force stay farm house causing highly sensible dynamic contradicting character sparking chain fateful event,6.0,1.0,0.622,snowblind set black forest ice cold winter peter year old blind boy trying get germany together father heiner former officer carry fatally wounded soldier karl promised guide across border switzerland time reach family remote farm house karl died peter heiner hope karls father fulfill son promise snow storm force stay farm house causing highly sensible dynamic contradicting character sparking chain fateful event
Fertile Floods: Croatia's Wetlands,2018,Deutsch,Action,every year middle croatia story annual snowmelt huge flood wave spill alp toward zagreb belgrade lead increase river savas water level ten meter speciesrich alluvial flood forest last major meadow landscape continent enormous predatory fish like catfish lie wait prey,7.0,1.0,0.361,every year middle croatia story annual snowmelt huge flood wave spill alp toward zagreb belgrade lead increase river savas water level ten meter speciesrich alluvial flood forest last major meadow landscape continent enormous predatory fish like catfish lie wait prey
Bach in Brazil,2016,Deutsch,Drama,inspired true event story happens two outsider opposite corner world thrown together brazil germany marten brueckling retired music teacher germany inherited original sheet music bach son marten collect sheet person beautiful baroque city ouro preto heart brazil brazil beginner funny circumstance drive hm teach music kid juvenile detention center bach music brazilian instrument mix perfectly one kid fernando lovable abandoned boy lived street marten discovers common thought,8.0,4.0,1.651,inspired true event story happens two outsider opposite corner world thrown together brazil germany marten brueckling retired music teacher germany inherited original sheet music bach son marten collect sheet person beautiful baroque city ouro preto heart brazil brazil beginner funny circumstance drive hm teach music kid juvenile detention center bach music brazilian instrument mix perfectly one kid fernando lovable abandoned boy lived street marten discovers common thought
Midnight Runner,2018,Deutsch,Drama,marathon runner jonas widmer looking way overcome tragic past result becomes entangled ominous double life true drama wellknown top athlete evolves serial offender,6.324,17.0,2.47,marathon runner jonas widmer looking way overcome tragic past result becomes entangled ominous double life true drama wellknown top athlete evolves serial offender
Welcome to Hartmanns,2016,Deutsch,Drama,hartmann family turned upside mother angelika decides take refugee diallo husband amidst typical chaos time hope remains family find stability confidence peace like whole country,6.373,229.0,6.751,hartmann family turned upside mother angelika decides take refugee diallo husband amidst typical chaos time hope remains family find stability confidence peace like whole country
Blind & Ugly,2017,Deutsch,Humor,ferdi think he ugly like fact jona interested maybe shes blind ferdi doesnt suspect shes pretending blind able live cheaply subsidized housing long maintain charade love supposed make blind even work way director tom lass take closer look shooting blind actor old berlin buddy acting lead paying tribute way life beyond way seeing world,4.7,9.0,0.908,ferdi think ugly like fact jona interested maybe shes blind ferdi doesnt suspect shes pretending blind able live cheaply subsidized housing long maintain charade love supposed make blind even work way director tom lass take closer look shooting blind actor old berlin buddy acting lead paying tribute way life beyond way seeing world
Goblin 2,2019,Deutsch,Humor,700 year evil troll awakes badenbaden new life form woman try free demonic companion dimension,6.0,2.0,0.715,year evil troll awakes badenbaden new life form woman try free demonic companion dimension
Tension,2016,Deutsch,Humor,jack want damn silence life something ever turn like supposed sometimes even comfort zone attack best way defense jack find inner peace others end piece,0.0,0.0,0.823,jack want damn silence life something ever turn like supposed sometimes even comfort zone attack best way defense jack find inner peace others end piece
Mario,2018,Deutsch,Drama,two young gay soccer player get caught politics game politics love,7.258,132.0,7.645,two young gay soccer player get caught politics game politics love
Egon Schiele: Death and the Maiden,2016,Deutsch,Drama,vienna austria 1910 young painter egon schiele rising artist provocative free whose work characterized eroticism shock much fascinates art lover,6.821,95.0,7.685,vienna austria young painter egon schiele rising artist provocative free whose work characterized eroticism shock much fascinates art lover
The Bloom of Yesterday,2017,Deutsch,Drama,almost romantic comedy edge holocaust researcher toto major life crisis thing home work could get worse unwantedly get new assistent assigned zazie french jewish slightly germanophobe supposed help toto prepare major congress star congress suddenly want pull problem piling two fix,7.2,37.0,2.529,almost romantic comedy edge holocaust researcher toto major life crisis thing home work could get worse unwantedly get new assistent assigned zazie french jewish slightly germanophobe supposed help toto prepare major congress star congress suddenly want pull problem piling two fix
The Most Beautiful Day,2016,Deutsch,Humor,overambitious pianist andi laid back benno one thing common soon two decide awesome day late,7.017,263.0,6.266,overambitious pianist andi laid back benno one thing common soon two decide awesome day late
Fucking Drama,2017,Deutsch,Drama,short directed michael podogil,5.3,3.0,1.924,short directed michael podogil
Daemonium,2023,Deutsch,Horror,protagonist haunted cruel force bad dream,0.0,0.0,0.072,protagonist haunted cruel force bad dream
