title,release_year,language,overview,vote_average,vote_count,popularity
Haraamkhor,2015,Indisch,"When a vulnerable new student finds comfort in her brash teacher, their academic relationship takes a manipulative and troubling turn.",5.679,29,2.18
Morchang,2023,Indisch,"Somewhere in the windy deserts of Rajasthan, a curious little boy from a family of nomadic musicians yearns to change his family’s fate through the magic and belief imbibed by his grandmothers folk tales.",0.0,0,5.085
Rakshak - India's Braves,2023,Indisch,"The bravery of Lieutenant Triveni Singh, a young soldier who gave his own life to protect over 300 people who were caught in the cross firing at the Jammu railway station in a terrorist attack in 2004.",6.0,2,3.15
Sergeant,2023,Indisch,"Sergeant Nikhil Sharma suffers from severe depression after losing a limb while on duty. However, after meeting Monica, he gains confidence and vows to reclaim his previous life by solving a critical case. Will he be able to complete his mission?",2.0,2,2.171
Manmarziyaan,2018,Indisch,A spirited girl finds herself caught in a complicated love triangle while burdened with societal and familial pressures.,6.94,58,3.541
The Booth,2019,Indisch,A female frisking booth inside a crowded mall stands as a silent ally to a forbidden romance.,6.9,5,2.164
Khichdi 2: Mission Paanthukistan,2023,Indisch,"The Parekh family goes on an adventure to save the world with Praful serving as an emperor of a fictional country Paanthukistan. The absurdity, the gags and the silliness return as the Parekh family's adventure transcends various landscapes – cities, beaches, snow-clad mountains, deserts, and caves.",3.0,4,2.159
Dybbuk,2021,Indisch,"Mahi, a newly married woman, brings an antique Jewish box into her home. When Mahi and her husband Sam begin to have paranormal experiences, they soon learn that the box is a dybbuk containing an evil spirit. The couple then seeks the help of a rabbi to unravel its mystery. Will they survive this ordeal before their child is born?",5.6,11,2.637
Anu,2023,Indisch,"When a recent widow moves to New Zealand from India, she's forced to confront her grief by completing an ordinary ritual in an extraordinary circumstance: quarantine.",6.0,0,2.334
The Tale Of A Santa And His Moth,2022,Indisch,"The tale of a Santa and his moth details the story of a bisexual widower, who later discovers his alternate sexuality after years of marriage to a woman and biologically fathering a child, and his ailing daughter revolving around Christmas. This details a take of unfulfilled wishes and priorities in life.",0.0,0,2.311
The Great Indian Family,2023,Indisch,The film is set in the fictional town of Balrampur where Vedvyas Tripathi better known as Bhajan Kumar lives with his family headed by his father Pandit Siyaram Tripathi. Bhajan Kumar’s life with his family was going well till a question on his identity arises that throws the city in a flurry of rumour and apprehension. Will he survive or fall prey to this onslaught?,4.2,4,4.46
Forensic,2022,Indisch,Little girls begin to disappear and their bodies are found soon after in the town of Mussoorie. Police officer Megha and forensic officer Johnny join hands to nab the killer.,4.3,7,3.769
Raaz Reboot,2016,Indisch,"Newly-weds Rehaan and Shaina move to Romania after the former is offered a job. When Shaina senses paranormal activity around her, she learns that her husband is harbouring a secret from her.",4.1,23,3.231
Mr. X,2015,Indisch,"After an explosion at a chemical factory gives him the power of invisibility, a former officer of the law becomes a vigilante in order to take revenge on those who have wronged him.",5.2,19,3.858
Mast Mein Rehne Ka,2023,Indisch,"A man chooses an old widower's home for his first robbery, kicking off a set of events that have them both look at life in a new way and with new companions in the starkness of the city of Mumbai.",7.6,8,3.841
Titu Ambani,2022,Indisch,"Titu's aspirations and dreams are far from his actions, he dreams with open eyes, and finds the shortest way to achieve his dreams. Despite despite his debt-ridden life, if you ask him, he is no less a dreamer than Ambani. Mosmi is the girl of today, living life on her own terms. She cannot compromise with her principles. Mosmi feels that Titu and she are made for each other but troubles arise when Titu's decisions endanger their love affair. This is a slice of life film, this simple love story of middle-class family conveys the big message of life in a very entertaining way.",6.0,2,3.115
Haddi,2023,Indisch,"A transgender woman, Haddi, moves to Delhi to join a gang of transpeople and cross-dressers headed by an influential man. But is this move aspirational or driven by revenge?",5.2,5,4.483
Motichoor Chaknachoor,2020,Indisch,A woman whose single purpose in life is to marry a foreign-settled groom decides to marry a 36-year-old Dubai-returned professional who is desperate for a bride.,6.1,19,3.362
Serious Men,2020,Indisch,"Tormented with his 'under-privileged' societal status, a father capitalizes on his son's newfound fame as a boy-genius. Little does he realize that the secret he harbors will destroy the very thing he loves the most.",6.667,33,2.283
Teddy,2020,Indisch,,0.0,0,3.042
Buddha in a Traffic Jam,2016,Indisch,"Vikram is a happy-go-lucky management student from a top Business School of India. He becomes an overnight sensation after a successful internet campaign against the radical fundamentalism of moral policing in India. This prompts his university teacher - Professor Ranjan Batki, to throw him a challenge for yet another internet campaign that would help raise money via a non-profit Pottery Club for poor people living in Maoists areas of India. Little does Vikram know that he is about to become a part of a plot that would risk his life and the nation. He gets entangled between two corrupt facets of India - Socialism and Capitalism, both of which are deeply rooted in India. It's a story inspired from true life incidents of Underbelly India.",7.2,10,2.335
Jahaan,2022,Indisch,"The film is about a young married couple, Ghazal and Inder, who are head over heels in love with each other. But things get quite disturbing when an estate broker tries to find a new tenant for the house, they are emotionally attached to. Ghazal and Inder seem to have no intention to let go of the house",0.0,0,3.3
Bhagwan Bharose,2023,Indisch,"A story about two young, impressionable kids whose ideas about faith are constantly questioned and changed as their little world expands and takes into its fold, their country's fast-changing socio-political landscape.",6.7,3,2.659
Babumoshai Bandookbaaz,2017,Indisch,"Two contract killer from Uttar Pradesh, Babu Bihari and Banke Bihari who are often paid to bump off the same game, cross each other's path and end up fighting with each other.",6.3,23,4.225
Thoda Lutf Thoda Ishq,2015,Indisch,"Two good for nothing boys Jhumroo and Ghungroo are best examples of fools who keep roaming around the whole day. Their sole motive in life is to have fun, befriend girls, go to parties, get drunk and chill. They find impish ways to get in touch with girls. They are also desperate to get a job, but in their comical attempt they receive yet more embarrassment. After couple of disasters they get a job at a newly opened beauty parlor run by two smart girls. Their dream has come true. They are around girls all the time. But this is just the beginning of their hilarious trauma and a journey full of unexpected twists…. A roller-coaster ride for them and guffaws for viewers.",5.0,2,2.114
Footfairy,2020,Indisch,"The plot is set in Mumbai, a city of dream and land of opportunities. The psychological crime thriller showcases an intriguing chase between a serial killer with a distinctive fetish and CBI officer named Gulshan. In the serial killer's point of view, the film explores the fugitive's darkest desire for momentary pleasure.",3.8,4,2.16
Durgamati: The Myth,2020,Indisch,"In the skullduggery world of politics and crime, an innocent Chanchal has to pull all on the line to prove her innocence and bring justice to Shakti and the people that he loved so much. As she gets embroiled deep in a web of deceit, Chanchal must face powers both natural and supernatural to fulfill her destiny.",5.889,10,2.111
Bhoot Police,2021,Indisch,"Two brothers Vibhooti and Chiraunji have fought their share of ghosts. However, a new case in a remote village forces them to rethink their own abilities and beliefs.",5.276,29,2.913
Firangi,2017,Indisch,"Firangi is a Hindi movie starring Kapil Sharma and Ishita Dutta in prominent roles. Set in 1920, it is a period drama directed by Rajeev Dhingra, with Kapil Sharma as the producer, forming part of the crew.",4.0,6,2.102
Do Ajnabee,2023,Indisch,"Do Ajnabee is an upcoming Indian Bollywood film written and directed by Sanjeev Kumar Rajput While the producer of the film is Anu Mitra. Arya Babbar, Aman Verma, Anu Mitra will be seen in the lead role of the film.",0.0,0,3.089
Dear Maya,2017,Indisch,"Anna and Ira prank a local woman by writing her letters from a secret admirer. The prank takes a more serious turn when the local women goes missing,",6.5,20,4.897
Panga,2020,Indisch,'Panga' follows the triumphs and struggle of a national level Kabbadi player from India who receives the love and support from her family to help achieve her dream.,6.7,24,2.098
Lonely Girl,2020,Indisch,,0.0,0,2.09
Munna Michael,2017,Indisch,"An expert dancer Munna who idolizes the king of pop, reluctantly tutors a gangster until their developing bond gets disrupted by their common romantic interest towards the same woman.",5.88,46,3.407
Thai Massage,2022,Indisch,"A typical middle-class 70-year-old widower, Atmaram Dubey, who has been celibate for decades, realises he will probably never have sex. This awakening catapults him into an outrageous journey of self-discovery defying societal norms.",5.6,5,3.449
Bombairiya,2019,Indisch,"It follows the story of Meghna, who gets embroiled in a series of events after her phone gets stolen.",7.2,8,2.083
Durga,2020,Indisch,"Durga is a movie directed by Abhishek Roy Sanyal featuring Raghuvir Yadav, Sharvari Manoj Kashid.",5.0,2,2.082
Commando 3,2019,Indisch,A mysterious man is on an impending mission to attack the country from his base in London. Karan Singh Dogra sets out to hunt down the antagonist aided by the British Intelligence.,7.056,27,4.591
The Fakir of Venice,2019,Indisch,"Adi Merchant, a hustler from Mumbai is hired by a Venetian artist to find a fakir for an art installation in Venice. He cons the art fraternity and hires a daily wage labourer Sattar instead and the two have the most unique time of their lives in the picturesque European city.",4.7,3,2.118
Bhaag Johnny,2015,Indisch,"Blackmailed into murdering, a casanova is presented with the opportunity of living two lives. One in which he commits the crime and the other in which he refuses and goes on the run.",5.857,7,2.735
Influencer Life,2023,Indisch,,3.0,1,2.078
Chhalaang,2020,Indisch,"Chhalaang humorously addresses the value of Sports Education in the school curriculum. It follows a hilarious, yet an inspirational journey of a typical PT Master from a semi government-funded school in Northern India, Montu, for whom it’s just a job and is forced to do what he has never done - Teach.",6.0,27,3.342
Freaky Ali,2016,Indisch,A debt collector becomes a major sensation when he takes on the rich man's sport of golfing.,5.5,19,2.094
Chandigarh Kare Aashiqui,2021,Indisch,"Manu, a bodybuilder from Chandigarh, India, falls in love with Maanvi, a Zumba teacher. All seems well until a revelation causes turmoil in their love story.",6.0,37,4.146
Sanak,2021,Indisch,"Set in Mumbai, the story unfolds in a hospital that is under siege, where Vivaan Ahuja and his wife Anshika are trapped. Does he manage to rescue her and other hostages from the dangerous hoodlums?",6.262,21,2.665
One Friday Night,2023,Indisch,"Ram Varma, a married man, is having an affair with a younger woman, Nirosha. One night when Ram meets with a life-altering accident, Nirosha is forced to contact Ram's wife, Dr. Lata. How will Lata react after discovering her husband's infidelity?",4.3,3,2.07
Julie 2,2017,Indisch,"Julie, a simpleton, follows through with her dream of becoming an actress and rises to stardom. However, she is soon introduced to the murky waters of the entertainment industry. She begins to compromise on her choices and seeks love from the men in her life. Just as she decides to change paths, she is offered a political biopic that further complicates her life.",5.0,3,2.114
Three of Us,2023,Indisch,"Shailaja embarks on a confrontational journey with her husband and childhood-love as she finds herself at the cusp of her past, present and future. Stitched with a very delicate thread of emotions, this film is about love, loss, healing, awareness and liberation.",7.0,9,4.095
G Kutta Se,2017,Indisch,"In a small village not too far from Delhi, three lives explode around taboos of love and lust. Diksha, still just a girl, is caught unguarded on camera, besmirching the ""honor"" of her parents. Kiran, in love with the wrong boy, becomes the target of another man's lustful vengeance, ""dishonoring"" her family. And Virender, a young man cruising the streets at will, enjoys all the acts society forbids women, protecting or destroying their ""honor"" as he wills. Set in the badlands of Haryana, known for high rates of female feticide, G explores the murky world of sexual transgression and honor killings in India.",5.5,1,2.057
Thank You for Coming,2023,Indisch,"Opting for a stable fiancé over genuine romance, a food blogger experiences sexual satisfaction for the first time at her engagement party. However, she must find out who her mysterious lover is.",4.2,7,3.279
Mulk,2018,Indisch,"The youngest son of a Muslim family settled in Benaras gets involved in terrorist activities, leading to a bomb blast massacre. His actions have an adverse effect on the family who are left to defend themselves as people who are innocent and not anti-nationals.",6.7,37,3.38
Teraa Surroor,2016,Indisch,"Tara Wadia (Farah Karimaee), a singer and girlfriend of a gangster Raghu (Himesh Reshammiya) lives with her mother (Shernaz Patel). She goes to Dublin where she gets detained after being caught with drugs. Tara calls Raghua for help now Raghu must help her and find Anirudh Brahman, the stranger who met Tara on Facebook and invited her to Ireland.",6.2,2,2.046
Maska,2020,Indisch,"Determined to make it in showbiz, an aspiring young actor considers turning his back on the beloved Irani café run by his family for generations.",5.357,14,3.192
Tara vs Bilal,2022,Indisch,Sparks fly when vivacious yet sensitive Tara collides with a reclusive charmer Bilal in this slice of life story set in vibrant and diverse London.,4.8,10,2.041
Gulabo Sitabo,2020,Indisch,"Set in present-day Lucknow, Gulabo Sitabo is a social satire about two impossibly peculiar human beings, Mirza Chunnan Nawab, who stays in a dilapidated mansion and one of the tenants, Bankey Rastogi.",5.875,44,4.341
CRD,2016,Indisch,"The Purushottam Karandak — a real-life inter-college festival in which theater students compete head-to-head — becomes an ideological battleground in this bold,brilliant exploration of the creative impulse. IFFLA alum Kranti Kanade leaves no radical idea or experimental flourish behind as he tells the story of Chetan, an aspiring young writer who dreams of winning the competition but struggles to find his own artistic voice. After Chetan clashes with his tyrannical acting professor, he enlists his own group of misfits to perform a play against his college’s official team. If only he could come up with a great story and keep his own temper and libido in check. And should true art even be placed in a competition, where one vision is declared the best?",7.0,2,2.037
Time Machine,2016,Indisch,"Time Machine is a story of a young boy who makes the worlds first time machine, but is unable to hold onto his childhood or protect his family from the ravages of time. The story deals with the themes of nostalgia, first love, and of course, time travel.",0.0,0,2.764
Pagalpanti,2019,Indisch,"3 men, considered as losers in their lives by the people, plan to get rich along with their girlfriends by fooling 2 gangsters and robbing their money.",4.412,17,3.526
Paarth Saarathi,2019,Indisch,"Bajrang, a taxi driver explores the human psyche during an undesired night shift on the dark, shady and deceitful streets of Delhi-NCR.",0.0,0,2.021
Virgin Bhanupriya,2020,Indisch,"Bhanupriya, a conservative girl decides to lose her virginity but fails in her every attempt. A soothsayer predicts that it is an impossible task and it will not happen to her. She decides to overcome this bad luck.",0.0,0,2.016
Pati Patni Aur Woh,2019,Indisch,"Chintu Tyagi is an ordinary, middle-class man who finds himself torn between his wife and another woman.",6.3,35,3.31
Ye Mard Bechara,2021,Indisch,"The man (mard) hurt too because he is also a human, man (mard) is not to tilt someone using your force, Rather a man(mard) overcoming his weaknesses , Manhood is not that to spread voilence but to stop voilence, follow the path of non voilence, manhood is not to lord it over women but it is to respect equality , to be a man (mard ) Not to give pain but to understand the pain of others because the man (mard) hurt too.. the name of the realization of the same pain "" yemardbechara""",0.0,0,3.018
Qala,2022,Indisch,"Haunted by her past, a talented singer with a rising career copes with the pressure of success, a mother's disdain and the voices of doubt within her.",6.3,25,4.651
Manto,2018,Indisch,"In Bombay's seedy-shiny film world, Manto and his stories are widely read and accepted. But as sectarian violence engulfs the nation, Manto makes the difficult choice of leaving his beloved Bombay. In Lahore, he finds himself bereft of friends and unable to find takers for his writings.",7.4,44,3.075
Dry Day,2023,Indisch,"When his wife makes a vow to abort their baby due to his alcoholism, Gannu, the biggest loafer of Jagodhar sets out on a protest to ban alcohol in his town all the while grappling with his own drinking habits!",7.5,2,4.377
Happy Birthday,2021,Indisch,"68 years old Parsi man, RATANSHI OSHIDAAR (RATTOO), lives alone in his old but massive house and leads a simple life. But he has a unique profession - he is an AUTOMATIC WRITER And HEALER; someone who communicates with the spirit world.  37 year old BETH ROSE, a Christian single mother, who has recently lost her son to Cancer, ends up reaching out to Rattoo as the last possible way to reach out to her son.",0.0,0,1.982
Bhasmasur,2017,Indisch,"Dhaanu, a poor villager, heavily in financial debt, stealthily returns from the city to the village one night. He is hiding from a moneylender who he owes a handsome sum of money. Pushed against the wall, he decides to sell his donkey, Bhasmasur, in the city. Dhaanu's son Tipu, who yearns to go the annual fair in the city, shares a very strong bond with the donkey, Bhasmasur. Tipu in his own childish ways tries to stop Bhasmasur from being sold, but remains unsuccessful. Dhaanu decides to take Tipu to the city too. The trio set off on a journey from the in lands of Rajasthan towards the city, by foot. Along the journey, numerous events take place, bringing the father and son closer. But, will Dhaanu be able to make this bond last?",6.2,5,1.982
Mission Raniganj,2023,Indisch,"A real-life story of additional chief mining engineer Jaswant Singh Gill who helped in the rescue of people when a coal mine in Raniganj, West Bengal, was flooded. The incident dates back to 1989.",6.1,10,4.1
London Confidential,2020,Indisch,"A spy-thriller set amidst a series of brutal killings of Indian agents in London, and how Uma, a RAW officer, must expose a mole within the ranks.",4.5,3,2.346
Kuch Pal Pyar Ke,2018,Indisch,"Kuch Pal Pyar Ke is a 2018 Indian Hindi film, directed by V.H. Kumar. The film stars Aamir and Zoya in lead roles. The film has musical score by Aniket Trivedi.",4.0,1,3.031
Ranveer Ching Returns,2016,Indisch,A man is starving with shortage of food and find a mentor in Ranveer Ching who helps them fight hunger with Chinese Ching products.,0.0,0,3.249
Omertà,2018,Indisch,"A dramatization of the complex and dangerous life of Omar Sheikh. A convicted terrorist who many believe had financial connections to 9/11, Sheikh is widely known as the man responsible forthe 2002 kidnapping and murder of Wall Street Journal reporter Daniel Pearl.",7.2,16,1.969
Section 375,2019,Indisch,A filmmaker stands trial when a costume assistant on his movie accuses him of rape,7.424,59,4.016
Some of My Folks,2023,Indisch,A mockumentary that follows the antics of three friends as they enjoy life and stick by one another no matter what.,0.0,0,2.782
Kennedy,2023,Indisch,"Kennedy is an insomniac ex-Cop, long thought to be dead, still operating for the corrupt system, while looking for redemption.",7.5,2,1.945
Scorned,2020,Indisch,,0.0,0,2.498
De De Pyaar De,2019,Indisch,A 50-year-old single father faces disapproval from his family and his ex-wife when he falls in love with a 26-year-old woman.,5.957,46,3.874
Machine,2017,Indisch,"Machine depicts the story of racing enthusiasts , who meet each other under mysterious circumstances. As their bond becomes stronger, they eventually fall in love. However, new things begin to unfold, which change their lives forever",3.5,8,1.935
Trial Period,2023,Indisch,A working single mother's world turns upside down when her inquisitive son demands a new father on a 30-day 'Trial Period'.,5.2,5,2.429
Invisible Demons,2021,Indisch,"A prismatic meditation on pollution in the capital of the World’s biggest free-market democracy and the most polluted and populated city, Delhi – a film about the pollution inside of the human mind.",6.167,6,2.432
B. A. Pass 2,2017,Indisch,"B. A. Pass 2 is the story of a young girl, who, in order to achieve her goals and to avoid marriage, makes a few wrong decisions and adopts ill habits that eventually ruin her life.",7.0,3,2.828
Uljhe Hue,2022,Indisch,"Embarrassed and frustrated after being stood up at a movie theatre, Rasika, an introvert visual artist bumps into Varun, a lawyer, while trying to escape the realities of Online Dating.",4.0,1,3.779
Waiting,2016,Indisch,"While visiting his comatose wife in the hospital, a serene old professor befriends a vibrant young woman whose husband has also fallen into a coma.",7.077,13,3.624
Rahasya,2015,Indisch,Only child of a doctor couple is murdered in her sleep inside their large duplex apartment.,7.1,32,3.689
House Arrest,2019,Indisch,A world-weary man’s self-imposed home confinement becomes a comedy of errors with the simultaneous arrivals of a peculiar package and a curious journalist.,6.6,14,2.655
Malaal,2019,Indisch,"When a rowdy Shiva’s world collides with that of a demure Aastha’s, whose family has just moved into the chawl he resides in, sparks fly between them. But given their completely different backgrounds, is there any scope for their romance to bloom and survive?",5.0,7,3.193
One Night Stand,2016,Indisch,An obsession with a woman Celina with whom Urvil had a one-night stand brings disharmony into hiss life and destroys his peace of mind.,4.6,16,2.209
Mrs. Undercover,2023,Indisch,An ace undercover agent living as a middle-class housewife is assigned a task after a decade. How will she take down a serial killer targeting ambitious women with her rusty skills?,5.1,7,3.719
Baazaar,2018,Indisch,"After moving to Mumbai, an ambitious young man becomes the stock trader for a notorious businessman.",6.0,26,3.26
Barkhaa,2015,Indisch,"Barkhaa is a Bollywood Romantic film, directed by Shadaab Mirza and produced by Shabana Hashmi. It stars Sara Loren in lead titular role. The film also stars Taaha Shah, Shweta Pandit, Priyanshu Chatterjee and Puneet Issar in prominent roles. The film was extensively shot in Himachal Pradesh, India. Marketing of the film was done by Hash Entertainment and is distributed under the banner of Zahara Productions. It was released on March 27, 2015.",4.6,9,1.886
Madam Chief Minister,2021,Indisch,A political-drama where a young woman from a small village rises to power into the world of politics by breaking barriers of caste and patriarchy and overcomes the obstacles placed by her opponents to become the chief minister and work for the upliftment of backward classes.,5.8,9,2.504
Dhak Dhak,2023,Indisch,"Four women — a travel blogger, her friend's biker granny, a makeshift mechanic and a young girl set to be married — ride to the highest motorable pass in the world on an extraordinary journey of self-discovery.",5.8,10,2.326
Babloo Bachelor,2021,Indisch,"Babloo bachelor is a comedy genre film, in which Sharman Joshi is playing the protagonist. The story of the film is based on UP, where a well to do family had always dreamt of their son's wedding with great pomp and show.",0.0,0,1.875
Megha's Divorce,2019,Indisch,,0.0,0,1.976
Khalli Balli,2022,Indisch,"A model and wannabe Bollywood actress, Sanjana, experiences bizarre supernatural events that make her boyfriend, Rohit, mistrust her. To get things back on track, they go to Lucknow on holiday, where things turn more dangerous.",0.0,0,1.872
Laal Kaptaan,2019,Indisch,"In an 18th century setting, a Naga sadhu in India sets out on a journey across Bundelkhand to seek revenge for an injustice committed in the past.",7.0,21,4.358
Kachha Baniyan Gang: The Real Story Behind Delhi Crime Season 2,2022,Indisch,A look behind the horrifying true story of Delhi Crime Season 2.,0.0,0,1.871
Phobia,2016,Indisch,"A talented artist tries to curb her phobia of being in public places, only to be convinced that a malevolent spirit is haunting her.",6.9,31,2.652
Yaatris,2023,Indisch,"Sharmas from Banaras are your next door, dysfunctional middle-class family who take on a journey of a lifetime as they navigate love, laughter and life lessons in a heartwarming tale of togetherness.",0.0,0,1.869
Keep Punching,2020,Indisch,"Prior to fighting for her country, Kirnay, a withdrawn boxer must fight the battle for her freedom.",5.0,1,1.867
Friday Night Plan,2023,Indisch,"When their mother takes off on a business trip, two bickering brothers unite to secretly attend the hottest party of the year before she returns.",5.7,7,4.348
Welcome to New York,2018,Indisch,"Recovery agent Teji and fashion designer Jinal dream of making it big in showbiz. Both win a ticket to a popular awards show in New York where they get a chance to showcase their talent. However, they soon realise that they are mere pawns in the hands of event manager Sophie, who wants to teach her boss a lesson.",4.5,2,2.282
Zid,2020,Indisch,,0.0,0,4.226
Helicopter Eela,2018,Indisch,"Eela, an aspiring playback singer, and single mother has given up all her dreams to raise her only son, who backlashes her for invading his privacy.",6.3,12,2.081
Traffic,2016,Indisch,An emotional thriller based on a road trip from Mumbai to Pune. Inspired from the real events that happened in Chennai.,6.6,15,2.668
Janhit Mein Jaari,2022,Indisch,"A small-town girl from MP, Manokamna, gets a decent-paying job. But the work requires her to sell condoms. Will she be able to voice her beliefs while balancing her responsibilities and society?",6.1,10,3.034
Monsoon Shootout,2017,Indisch,"A rookie cop joins the crime branch of the Mumbai police department, and on his first assignment is faced with the dilemma of whether he should shoot a murder suspect who is attempting to escape or not.",6.5,17,2.978
Starfish,2023,Indisch,"A skilled commercial diver in Malta, Tara Salgaonkar is a mystery to everyone around her. A strong girl who defies social conventions, she is trying to come to terms with her dark past.",3.6,5,1.841
Sharmaji Namkeen,2022,Indisch,"Late Rishi Kapoor in his swansong plays B. G. Sharma, a 58-year old middle-class widower living in West Delhi. After being laid off from the company he has worked for his entire life, Sharmaji struggles to deal with the beast called retirement. His struggle to stay relevant in front of his two sons finally ends when he rekindles his love for cooking through a kitty party. A bunch of merry women rekindle in Sharma, a passion for cooking and chutzpah in general, that help him find his true calling.",6.8,18,4.271
Family Politics of Blood,2023,Indisch,"Pannaben is the master of politics and is the CM of a state. She has been the CM for 15 years and people love her as a leader. After a sudden turn of events, everyone wants to be the stakeholder of the chair in the family. An edge of the seat thriller which keeps you guessing the game.",0.0,0,1.84
Sardar Ka Grandson,2021,Indisch,"A devoted grandson's mission to reunite his ailing grandmother with her ancestral home turns into a complicated, comic cross-border affair.",7.196,23,4.29
Koi Jaane Na,2021,Indisch,A heartbroken writer struggling with writer`s block goes to a quiet hill station where he finds love again but uncovers a copycat serial killer who has mysteriously come alive and is killing everyone around him.,6.7,3,1.829
Josef - Born in Grace,2019,Indisch,"An adaptation of a short story ""Joseph"" written by Umakanta Mahapatra and is set in the foothills of the Himalayas between 1960 and 1980 in India. Father O'Hara (Victor Banerjee), a missionary doctor with the help of his caretaker Maularam (Sudarshan Juyal), raises an orphan baby Josef (Hitesh Bisht). While still a young boy, Josef is sent to Dehradun, Uttarakhand, for his studies and vocational training. Josef (Subrat Dutta) returns back with a reputation as a great cook as well as his love for alcohol. The film explores in its unfolding of time, the different paths that Father O'Hara, Josef, and Maularam take in their respective journeys for spiritual fulfillment through memories, duty, and search as well as the their interaction with friends and acquaintances. Through static mis-en-scenes, the narrative of the film reflects the all-encompassing nature of time, pre-empting and repeating itself in allegorical hues.",0.0,0,1.821
Spirit of the Mountains,2023,Indisch,"The charismatic Snow Leopard is the least understood of all the big cats and one of the most challenging to film. Over a period of five years, veteran Indian wildlife filmmakers, Naresh and Rajesh Bedi endured extreme cold and the thin air of the Himalayas in their daunting quest to reveal the secret lives of these elusive predators, ultimately with great success.",8.333,3,1.82
Shabaash Mithu,2022,Indisch,"From child prodigy to trailblazing captain, Indian women's cricket icon Mithali Raj navigates highs and lows of professional career. A story of a young girl's determination and stance against discrimination, about her spirit, passion, courage, and her dreams.",6.0,12,4.248
Satyameva Jayate,2019,Indisch,"Satyameva Jayate is a ZEE5 Original drama film starring Arjun Chakraborty, Saurasani Maitra, Vipin Sharma, Sudiptaa Chakraborty, Dibyendu Bhattacharya, and Jayant Kripalani. Directed by Arindam Sil, the story revolves around a simple shopkeeper who is harassed by goons and denied justice in the court of law. Watch this engaging drama that reveals the ugly truth of the metropolitan city of Kolkata, according to Anandabazar Patrika.",8.0,1,1.814
Posham Pa,2019,Indisch,Gundeep and Nikhat are making a documentary on the government-based project of psycho women who killed several kids with her daughters. Prajakta Deshpande was a psycho woman who would sleep with men and kill them after robbing their valuables this bought a very bad upbringing for her daughter Rega who also lost mental imbalance as she was badly abused by Prajakta. Prajakta then married military officer Deshpande and had a daughter Shikha and things were going fine but old habits die soon.,5.8,4,2.832
Chaahat,2020,Indisch,"A newly married happy couple are having trouble with their sex life. The husband visits a sex therapist to determine why he cannot help his wife achieve an orgasm. And tries everything suggested by the doctor but still fail’s. The wife receives an unexpected visitor who is a cousin brother of her husband. She seduces the young and handsome boy, with whom she will maintain a relationship.",1.0,1,3.743
Amar Colony,2022,Indisch,"Meera is beautiful, pregnant and in search of some spice in her life. Mohit is young, idle, and lives next door with Devki, his abusive mother. Meera has a boring and absent husband. But wait to see what the guy is hiding. Her aunty Dunga is old and hopes to become immortal, her other half has a secret in his shop nobody knows about, except his young grandchild who is smarter than it seems. They all live in a dilapidated building called Amar Colony.",10.0,1,2.261
Bunty Aur Babli 2,2021,Indisch,"Bunty and Babli are forced out of retirement as a new pair of cons emerge, doing robberies in their name with their trademark sigil across India.",6.8,4,1.84
Kuch Kuch Locha Hai,2015,Indisch,"Praveen Patel, a 45-year-old married businessman, is approached by Shanaya, an actress, who wants to move in with him to prepare for a role. So he pretends to be single to impress her.",4.5,6,2.386
Jogira Sara Ra Ra,2023,Indisch,"Jogi the match maker and Dimple who seeks help to him to get rid of her marriage, both face the consequences as it is eventually decided that Jogi will marry her to save face.",0.0,0,2.492
Odd Couple,2022,Indisch,A clerical error at the marriage registrar’s office leads to an unexpected twist in the life of four people. Will the two couples manage to come out of this complex relationship mess emotionally unscathed?,8.0,1,1.808
Cypher,2019,Indisch,It's a journey of a man who was born handicapped without hands but he never lost confidence in himself and ends up an opened school on his mother name where all normal and abnormal kids can study together.,0.0,0,3.711
Hukumat Ki Aandhi,2017,Indisch,"Local Bhojpuri politicians fight each other and unleash terror on villages in order to grab land from poor farmers after Pramod, a righteous young leader, dies.",2.5,1,1.807
Khamoshiyan,2015,Indisch,"A writer adrift in the icy slopes of Kashmir, discovers a woman with a strange and silent past.",4.588,17,2.966
In the Land of Poison Women,2019,Indisch,Sangra and Lusang’s two children and four others die after consuming a local wine that was prepared by Lusang. She is ostracised by her community over their superstitious belief of her being a doumoh – a poison woman.,0.0,0,1.804
Through the Rainbow,2018,Indisch,"The story revolves around Aryan, a gay, as he recollects his journey through college life among archaic societal norms of love and relationships that changed his life. The film is based on the theme L.G.B.T.Q and the problems faced by them by the society as how it still considers them a taboo.",1.0,1,4.176
Meri Pyaari Bindu,2017,Indisch,Abhimanyu Roy is stuck with writer's block until he decides to re-live the memories of his childhood sweetheart Bindu who aspires to be a successful singer and struggles to give Abhi the one thing he craves - stability.,6.192,39,3.622
Amar Katha,2023,Indisch,A hero stuck in an ancient cycle of death and rebirth unknowingly cheats his destiny.,10.0,1,3.762
Tuesdays And Fridays,2021,Indisch,Two millennials get into a relationship where they are allowed to meet only on 'Tuesdays & Fridays'.,5.0,4,1.783
Poster Boys,2017,Indisch,Life of three men comes in trouble when their photos appear on advertisement for sterilization.,5.167,18,1.992
Bahut Hua Sammaan,2020,Indisch,"With their planned heist gone wrong, Bony and Fundoo get inextricably involved in the pursuit of 'Kohinoor' - quite possibly the biggest scandal the country will ever witness.",6.6,8,3.198
